,player_name,player_extended_name,nationality,position,overall
464,Walcott,Theo Walcott,United Kingdom of Great Britain and Northern Ireland,RM,77
465,Veigneau,Olivier Veigneau,France,LB,73
466,Cabral,Gustavo Cabral,Argentina,CB,75
467,Ulloa,Leonardo Ulloa,Argentina,ST,73
468,Basta,Dušan Basta,Serbia,RB,76
469,Domingo,Nicolás Domingo,Argentina,CDM,75
470,Higuaín,Federico Higuaín,Argentina,CAM,76
471,Bocchetti,Salvatore Bocchetti,Italy,CB,76
472,Sirigu,Salvatore Sirigu,Italy,GK,84
473,Rodallega,Hugo Rodallega,Colombia,ST,75
474,Zeca,José Carlos Gonçalves Rodrigues,Greece,CM,75
475,Augusto,Renato Augusto,Brazil,CM,81
476,Vela,Carlos Vela,Mexico,RW,83
477,Evans,Jonny Evans,United Kingdom of Great Britain and Northern Ireland,CB,79
478,Hennessey,Wayne Hennessey,United Kingdom of Great Britain and Northern Ireland,GK,75
479,Lamela,Erik Lamela,Argentina,RM,80
480,Dos Santos,Giovani dos Santos,Mexico,CAM,76
481,Eschenko,Andrey Eschenko,Russian Federation,RB,73
482,Aguilar,Paul Aguilar,Mexico,RB,74
483,Erkin,Caner Erkin,Turkey,LB,75
484,Mouche,Pablo Mouche,Argentina,LM,74
485,Sow,Moussa Sow,Senegal,ST,74
486,Alfonso,Enrico Alfonso,Italy,GK,73
487,Sokratis,Sokratis Papastathopoulos,Greece,CB,84
488,Murray,Glenn Murray,United Kingdom of Great Britain and Northern Ireland,ST,77
489,Cigarini,Luca Cigarini,Italy,CM,74
490,Criscito,Domenico Criscito,Italy,LB,79
491,Candreva,Antonio Candreva,Italy,RM,79
492,Bale,Gareth Bale,United Kingdom of Great Britain and Northern Ireland,RW,85
493,Piszczek,Łukasz Piszczek,Poland,RB,81
494,Andújar,Mariano Andújar,Argentina,GK,74
495,Fernández,Matías Fernández,Chile,CM,75
496,Baiano,Wanderson Souza Carneiro,Brazil,RB,74
497,Kamara,Kei Kamara,Sierra Leone,ST,74
498,Mccarty,Dax McCarty,United States of America,CDM,73
499,Altidore,Jozy Altidore,United States of America,ST,76
500,Leiva,Lucas Pezzini Leiva,Brazil,CDM,84
501,Ospina,David Ospina,Colombia,GK,80
502,Missiroli,Simone Missiroli,Italy,CM,74
503,Özil,Mesut Özil,Germany,CAM,84
504,Wernbloom,Pontus Wernbloom,Sweden,CDM,77
505,Guzmán,Nahuel Guzmán,Argentina,GK,79
506,Díaz,Marcelo Díaz,Chile,CDM,80
507,Lustenberger,Fabian Lustenberger,Switzerland,CB,76
508,Ba,Demba Ba,Senegal,ST,73
509,Valbuena,Mathieu Valbuena,France,LM,80
510,Payet,Dimitri Payet,France,CAM,81
511,Medunjanin,Haris Medunjanin,Bosnia and Herzegovina,CM,74
512,Dirar,Nabil Dirar,Morocco,RM,75
513,Bertolo,Nicolás Bertolo,Argentina,LM,74
514,Vieirinha,Adelino André Vieira de Freitas,Portugal,LB,76
515,Cissé,Papiss Demba Cissé,Senegal,ST,75
516,Bong,Gaëtan Bong,Cameroon,LB,74
517,Vrancic,Mario Vrancic,Bosnia and Herzegovina,CM,73
518,Grosicki,Kamil Grosicki,Poland,LM,74
519,Miguel Veloso,Miguel Luís Pinto Veloso,Portugal,CM,77
520,Mata,Juan Manuel Mata García,Spain,CAM,82
521,Okaka,Stefano Okaka,Italy,ST,75
522,Ivo,Olívio da Rosa,Brazil,CM,74
523,Donk,Ryan Donk,Netherlands,CDM,76
524,Nguyen,Lee Nguyen,United States of America,CAM,73
525,Layún,Miguel Layún,Mexico,RB,77
526,Varela,Fernando Lopes dos Santos Varela,Cabo Verde,CB,77
527,Forestieri,Fernando Forestieri,Italy,ST,73
528,Pablo Hernández,Pablo Hernández Dominguez,Spain,RM,76
529,Höwedes,Benedikt Höwedes,Germany,CB,81
530,Robles,Luis Robles,United States of America,GK,74
531,N'Doye,Dame N'Doye,Senegal,ST,75
532,Ki Sung Yueng,Sung Yueng Ki,Korea (Republic of),CM,76
533,Džeko,Edin Džeko,Bosnia and Herzegovina,ST,84
534,Hořava,Tomáš Hořava,Czech Republic,CM,73
535,Dočkal,Bořek Dočkal,Czech Republic,CAM,76
536,Ekdal,Albin Ekdal,Sweden,CM,76
537,Akhmedov,Odil Akhmedov,Uzbekistan,CM,75
538,Corluka,Vedran Corluka,Croatia,CB,82
539,Vidal,Arturo Vidal,Chile,CM,84
540,Stephens,Dale Stephens,United Kingdom of Great Britain and Northern Ireland,CM,76
541,Tekdemir,Mahmut Tekdemir,Turkey,CB,75
542,Gradel,Max-Alain Gradel,Côte d'Ivoire,LW,79
543,Clark,Ciaran Clark,Ireland,CB,75
544,Stocker,Valentin Stocker,Switzerland,LM,73
545,Saivet,Henri Saivet,Senegal,CAM,74
546,Chedjou,Aurélien Chedjou,Cameroon,CB,74
547,Sakho,Mamadou Sakho,France,CB,79
548,Sio,Giovanni Sio,Côte d'Ivoire,ST,77
549,Sissoko,Moussa Sissoko,France,CM,81
550,Howson,Jonny Howson,United Kingdom of Great Britain and Northern Ireland,CM,73
551,Hogg,Jonathan Hogg,United Kingdom of Great Britain and Northern Ireland,CDM,75
552,Subotic,Neven Subotic,Serbia,CB,77
553,Choupo-Moting,Eric Maxim Choupo-Moting,Cameroon,ST,76
554,Kruse,Max Kruse,Germany,CF,83
555,Henderson,Jordan Henderson,United Kingdom of Great Britain and Northern Ireland,CDM,83
556,Dossevi,Matthieu Dossevi,Togo,RW,77
557,Perotti,Diego Perotti,Argentina,LW,80
558,Pied,Jérémy Pied,France,RB,73
559,Donald,Mitchell Donald,Netherlands,CDM,73
560,Kelly,Martin Kelly,United Kingdom of Great Britain and Northern Ireland,CB,75
561,Carcela-Gonzalez,Mehdi Carcela-Gonzalez,Morocco,CAM,77
562,Castro,André Castro Pereira,Portugal,CAM,73
563,Fernando,Fernando Reges,Brazil,CDM,81
564,Gaitán,Nicolás Gaitán,Argentina,CAM,81
565,Sankharé,Younousse Sankharé,Senegal,CM,75
566,Sergio Tejera,Sergio Tejera Rodríguez,Spain,CM,74
567,Giovinco,Sebastian Giovinco,Italy,CF,81
568,Van Wolfswinkel,Ricky van Wolfswinkel,Netherlands,ST,75
569,Alessandrini,Romain Alessandrini,France,RM,77
570,Gosling,Dan Gosling,United Kingdom of Great Britain and Northern Ireland,CM,75
571,Djalma,Djalma Braume Manuel Abel Campos,Angola,LM,73
572,Giuliano,Giuliano Victor de Paula,Brazil,CAM,82
573,Maurício,Maurício José da Silveira Júnior,Brazil,CDM,77
574,Russell,Johnny Russell,United Kingdom of Great Britain and Northern Ireland,RW,74
575,Poli,Andrea Poli,Italy,CM,77
576,Ribas,Sebastian Ribas,Uruguay,ST,73
577,King,Joshua King,Norway,CF,79
578,Gibbs,Kieran Gibbs,United Kingdom of Great Britain and Northern Ireland,LB,75
579,Stoch,Miroslav Stoch,Slovakia,LM,76
580,Macheda,Federico Macheda,Italy,ST,73
581,Norwood,Oliver Norwood,United Kingdom of Great Britain and Northern Ireland,CM,75
582,Borini,Fabio Borini,Italy,LW,76
583,Fabián,Marco Fabián,Mexico,CAM,75
584,Trippier,Kieran Trippier,United Kingdom of Great Britain and Northern Ireland,RB,80
585,Fer,Leroy Fer,Netherlands,CDM,73
586,Ward,Joel Ward,United Kingdom of Great Britain and Northern Ireland,RB,73
587,Navarro,Fernando Navarro,Mexico,RB,74
588,Dentinho,Bruno Ferreira Bonfim,Brazil,CAM,74
589,Kádár,Tamás Kádár,Hungary,CB,75
590,Alustiza,Matías Alustiza,Argentina,ST,74
591,Kouyaté,Cheikhou Kouyaté,Senegal,CDM,76
592,Asamoah,Kwadwo Asamoah,Ghana,LB,79
593,Gündogan,Ilkay Gündogan,Germany,CM,84
594,Paloschi,Alberto Paloschi,Italy,ST,75
595,Johansen,Stefan Johansen,Norway,CM,73
596,Moreno,Dayro Moreno,Colombia,ST,73
597,Smolov,Fedor Smolov,Russian Federation,ST,80
598,El Kaddouri,Omar El Kaddouri,Morocco,CAM,76
599,Dzagoev,Alan Dzagoev,Russian Federation,CM,77
600,Marlos,Marlos Romero Bonfim,Ukraine,RM,82
601,Isla,Mauricio Isla,Chile,RB,75
602,Mpoku,Paul-José Mpoku,Congo (Democratic Republic of the),RM,73
603,Chahechouhe,Aatif Chahechouhe,Morocco,LM,74
604,Juanfran,Juan Francisco Moreno Fuertes,Spain,RB,74
605,Balogun,Leon Balogun,Nigeria,CB,74
606,Acosta,Lautaro Acosta,Argentina,LW,76
607,Lulic,Senad Lulic,Bosnia and Herzegovina,LM,79
608,Taison,Taison Barcellos Freda,Brazil,CAM,82
609,Miguel Lopes,Hugo Miguel Almeida Costa Lopes,Portugal,RB,76
610,Bou,Gustavo Bou,Argentina,ST,77
611,Bonaventura,Giacomo Bonaventura,Italy,CM,82
612,Aziz,Serdar Aziz,Turkey,CB,77
613,Shelvey,Jonjo Shelvey,United Kingdom of Great Britain and Northern Ireland,CM,77
614,Fleck,John Fleck,United Kingdom of Great Britain and Northern Ireland,CM,73
615,Durmaz,Jimmy Durmaz,Sweden,CAM,75
616,Saúl Berjón,Saúl Berjón Pérez,Spain,LM,73
617,Berisha,Etrit Berisha,Albania,GK,76
618,Nélson Oliveira,Nélson Miguel Castro Oliveira,Portugal,ST,73
619,Oczipka,Bastian Oczipka,Germany,LWB,75
620,Latza,Danny Latza,Germany,CM,77
621,Cooper,Liam Cooper,United Kingdom of Great Britain and Northern Ireland,CB,74
622,Wilshere,Jack Wilshere,United Kingdom of Great Britain and Northern Ireland,CM,79
623,Hoilett,Junior Hoilett,Canada,LM,74
624,Daniel Candeias,Daniel João Santos Candeias,Portugal,RW,73
625,Santon,Davide Santon,Italy,RB,75
626,Pedro,Pedro Rodríguez Ledesma,Spain,RW,82
627,Ekici,Mehmet Ekici,Turkey,CAM,74
628,Kovařík,Jan Kovařík,Czech Republic,LM,73
629,Mee,Ben Mee,United Kingdom of Great Britain and Northern Ireland,CB,78
630,Guaita,Vicente Guaita Panadero,Spain,GK,79
631,Cleverley,Tom Cleverley,United Kingdom of Great Britain and Northern Ireland,CM,76
632,Éder,Éder Macedo Lopes,Portugal,ST,75
633,De Jong,Luuk de Jong,Netherlands,ST,82
634,Skorupski,Łukasz Skorupski,Poland,GK,76
635,Zuber,Steven Zuber,Switzerland,CM,76
636,Johnsson,Karl-Johan Johnsson,Sweden,GK,73
637,Falqué,Iago Falqué Silva,Spain,CF,79
638,Kabasele,Christian Kabasele,Belgium,CB,78
639,Krstičić,Nenad Krstičić,Serbia,CM,73
640,Ljajic,Adem Ljajic,Serbia,CAM,81
641,Quintero,Darwin Quintero,Colombia,CF,76
642,Ríos,Antonio Ríos,Mexico,CDM,73
643,Gulde,Manuel Gulde,Germany,CB,75
644,André,Benjamin André,France,CM,78
645,Arslan,Tolgay Arslan,Germany,CDM,75
646,Sandro,Sandro R. G. Cordeiro,Brazil,CDM,74
647,Elabdellaoui,Omar Elabdellaoui,Norway,RB,75
648,Théophile-Catherine,Kévin Théophile-Catherine,France,CB,76
649,Kucka,Juraj Kucka,Slovakia,CM,77
650,Montero,Fredy Montero,Colombia,ST,75
651,Alonso,Osvaldo Alonso,Cuba,CDM,75
652,Salvio,Eduardo Salvio,Argentina,RM,80
653,Guðmundsson,Jóhann Berg Guðmundsson,Iceland,RM,78
654,Pastore,Javier Pastore,Argentina,CM,79
655,Herrera,Ander Herrera Agüera,Spain,CM,82
656,Schennikov,Georgiy Schennikov,Russian Federation,LWB,74
657,Hult,Niklas Hult,Sweden,LB,74
658,Wood,Chris Wood,New Zealand,ST,77
659,Arlauskis,Giedrius Arlauskis,Lithuania,GK,73
660,Götze,Mario Götze,Germany,CF,82
661,Sané,Lamine Sané,Senegal,CB,74
662,Rinaudo,Fabián Rinaudo,Argentina,CDM,74
663,Júnior Caiçara,Uílson de Souza Paula Júnior,Brazil,RB,76
664,Badu,Emmanuel Badu,Ghana,CDM,75
665,Jajalo,Mato Jajalo,Bosnia and Herzegovina,CM,76
666,Badstuber,Holger Badstuber,Germany,CB,75
667,Duffy,Shane Duffy,Ireland,CB,78
668,Nyom,Allan Nyom,Cameroon,RWB,74
669,Carlos Eduardo,Carlos Eduardo de Oliveira Alves,Brazil,CAM,77
670,Hamouma,Romain Hamouma,France,RM,76
671,Pulido,Alan Pulido,Mexico,ST,73
672,Cook,Steve Cook,United Kingdom of Great Britain and Northern Ireland,CB,78
673,Gonalons,Maxime Gonalons,France,CDM,75
674,Le Goff,Vincent Le Goff,France,LB,73
675,Pröpper,Davy Pröpper,Netherlands,CM,77
676,Corona,Jesús Corona,Mexico,RM,81
677,Gudelj,Nemanja Gudelj,Serbia,CDM,77
678,Pisacane,Fabio Pisacane,Italy,CB,73
679,Delaney,Thomas Delaney,Denmark,CDM,82
680,Destro,Mattia Destro,Italy,ST,75
681,Rodríguez,Ricardo Rodríguez,Switzerland,LB,80
682,Soriano,Roberto Soriano,Italy,CAM,78
683,Gueye,Idrissa Gueye,Senegal,CDM,83
684,Fernandes,Mário Figueira Fernandes,Russian Federation,RWB,82
685,Belhanda,Younès Belhanda,Morocco,CAM,80
686,Rômulo,Rômulo Souza Orestes Caldeira,Italy,RM,77
687,Đuričić,Filip Đuričić,Serbia,CAM,74
688,Didavi,Daniel Didavi,Germany,CAM,78
689,Ananidze,Jano Ananidze,Georgia,CAM,74
690,Delort,Andy Delort,Algeria,ST,78
691,Almeida,André Gomes Magalhães Almeida,Portugal,RB,81
692,Diagne,Fallou Diagne,Senegal,CB,73
693,El Arabi,Youssef El Arabi,Morocco,ST,77
694,Daniel Ayala,Daniel Sanchez Ayala,Spain,CB,74
695,Dawson,Craig Dawson,United Kingdom of Great Britain and Northern Ireland,CB,75
696,Hanin,Florent Hanin,France,LB,74
697,Hamid,Bill Hamid,United States of America,GK,74
698,Jones,Phil Jones,United Kingdom of Great Britain and Northern Ireland,CB,79
699,Borja Bastón,Borja González Tomás,Spain,ST,75
700,Lovren,Dejan Lovren,Croatia,CB,80
701,Ninkovic,Miloš Ninkovic,Serbia,CAM,75
702,Kampl,Kevin Kampl,Slovenia,CM,83
703,Tavernier,James Tavernier,United Kingdom of Great Britain and Northern Ireland,RB,75
704,Suk Hyun Jun,Hyun Jun Suk,Korea (Republic of),ST,73
705,Gutiérrez,Teófilo Gutiérrez,Colombia,ST,76
706,Gürler,Serdar Gürler,Turkey,RM,73
707,Verdi,Simone Verdi,Italy,LM,80
708,Özyakup,Oguzhan Özyakup,Turkey,CM,77
709,Lodeiro,Nicolás Lodeiro,Uruguay,CAM,78
710,Krychowiak,Grzegorz Krychowiak,Poland,CDM,78
711,Anselmo,Anselmo de Moraes,Brazil,CDM,74
712,Gabriel Silva,Gabriel Moisés Antunes da Silva,Brazil,LB,73
713,Ayew,Jordan Ayew,Ghana,ST,75
714,Boyata,Dedryck Boyata,Belgium,CB,76
715,Aurier,Serge Aurier,Côte d'Ivoire,RB,79
716,Kasami,Pajtim Kasami,Switzerland,CAM,73
717,Lejeune,Florian Lejeune,France,CB,78
718,Herrmann,Patrick Herrmann,Germany,RM,77
719,Funes Mori,Rogelio Funes Mori,Argentina,ST,77
720,Guerrero,Miguel Ángel Guerrero Martín,Spain,ST,73
721,Drmic,Josip Drmic,Switzerland,ST,75
722,Murillo,Óscar Murillo,Colombia,CB,75
723,Svensson,Jonas Svensson,Norway,RB,75
724,Midtsjø,Fredrik Midtsjø,Norway,CM,75
725,Gabbiadini,Manolo Gabbiadini,Italy,ST,76
726,Malcuit,Kévin Malcuit,France,RB,78
727,Sarabia,Pablo Sarabia García,Spain,CAM,83
728,Ryan,Mathew Ryan,Australia,GK,80
729,Tzavellas,Georgios Tzavellas,Greece,CB,74
730,Dabo,Bryan Dabo,Burkina Faso,CM,74
731,Barkley,Ross Barkley,United Kingdom of Great Britain and Northern Ireland,CAM,79
732,Vida,Domagoj Vida,Croatia,CB,80
733,João Pedro,João Pedro G. Santos Galvão,Brazil,CF,76
734,Bamba,Abdoulaye Bamba,Côte d'Ivoire,RB,73
735,Lucas Pérez,Lucas Pérez Martínez,Spain,ST,77
736,Aguirregaray,Matías Aguirregaray,Uruguay,RB,73
737,Clasie,Jordy Clasie,Netherlands,CM,76
738,Lopes,Anthony Lopes,Portugal,GK,85
739,Xhaka,Granit Xhaka,Switzerland,CM,81
740,Ilie Sánchez,Ilie Sánchez Farres,Spain,CDM,74
741,Roberto,Sergi Roberto Carnicer,Spain,RB,82
742,González Pirez,Leandro González Pirez,Argentina,CB,75
743,Royer,Daniel Royer,Austria,LM,75
744,Wilson Eduardo,Wilson Bruno Naval Costa Eduardo,Angola,RW,77
745,Kaminski,Marcin Kaminski,Poland,CB,73
746,Bereszynski,Bartosz Bereszynski,Poland,RB,73
747,Christiansen,Anders Christiansen,Denmark,CM,74
748,Pedro Obiang,Pedro Mba Obiang Avomo,Equatorial Guinea,CDM,77
749,Alan Patrick,Alan Patrick Lourenço,Brazil,CAM,74
750,Rode,Sebastian Rode,Germany,CDM,78
751,Berghuis,Steven Berghuis,Netherlands,RW,80
752,García,Santiago García,Argentina,CB,73
753,Uth,Mark Uth,Germany,ST,78
754,Camilo,Camilo da Silva Sanvezzo,Brazil,ST,74
755,Schindler,Christopher Schindler,Germany,CB,76
756,Forrest,James Forrest,United Kingdom of Great Britain and Northern Ireland,RM,77
757,Juan Jesus,Juan Guilherme Nunes Jesus,Brazil,CB,76
758,Wakaso,Alhassan Wakaso,Ghana,CDM,76
759,Marafona,Jose Carlos Coentrão Marafona,Portugal,GK,74
760,Leitner,Moritz Leitner,Germany,CM,73
761,Lucas,Lucas Rodrigues Moura Silva,Brazil,CF,83
762,Sorg,Oliver Sorg,Germany,RB,73
763,Cédric,Cédric Ricardo Alves Soares,Portugal,RB,76
764,Ismaily,Ismaily Gonçalves dos S.,Brazil,LB,80
765,Morrison,Ravel Morrison,United Kingdom of Great Britain and Northern Ireland,CAM,76
766,Krejcí,Ladislav Krejcí,Czech Republic,LW,74
767,Falk,Rasmus Falk,Denmark,CM,75
768,Pablo,Pablo Nascimento Castro,Brazil,CB,77
769,Santander,Federico Santander,Paraguay,ST,75
770,Murillo,Jeison Murillo,Colombia,CB,79
771,Ghoulam,Faouzi Ghoulam,Algeria,LB,80
772,Ramírez,Gastón Ramírez,Uruguay,CAM,78
773,Sansone,Nicola Sansone,Italy,ST,75
774,Eysseric,Valentin Eysseric,France,LW,75
775,Limbombe,Anthony Limbombe,Belgium,LW,73
776,Sánchez Miño,Juan Sánchez Miño,Argentina,LB,74
777,Coady,Conor Coady,United Kingdom of Great Britain and Northern Ireland,CB,77
778,Kurtic,Jasmin Kurtic,Slovenia,CM,75
779,Nagbe,Darlington Nagbe,United States of America,CM,75
780,Sturaro,Stefano Sturaro,Italy,CM,75
781,Meunier,Thomas Meunier,Belgium,RB,82
782,Patric,Anderson Patric Aguiar Oliveira,Brazil,ST,73
783,Da Costa,Danny da Costa,Germany,RWB,79
784,Deulofeu,Gerard Deulofeu Lázaro,Spain,RF,80
785,Aleix Vidal,Aleix Vidal Parreu,Spain,RB,76
786,Jesé,Jesé Rodríguez Ruíz,Spain,LW,75
787,Griffiths,Leigh Griffiths,United Kingdom of Great Britain and Northern Ireland,ST,74
788,Depay,Memphis Depay,Netherlands,CF,84
789,Ceppelini,Pablo Ceppelini,Uruguay,CAM,73
790,Roussillon,Jérôme Roussillon,France,LB,82
791,Suso,Jesús Joaquín Fernández Sáez,Spain,RW,82
792,Zaza,Simone Zaza,Italy,ST,80
793,Tarkowski,James Tarkowski,United Kingdom of Great Britain and Northern Ireland,CB,79
794,Caprari,Gianluca Caprari,Italy,CF,74
795,Defrel,Gregoire Defrel,France,ST,78
796,Spinazzola,Leonardo Spinazzola,Italy,LM,79
797,Onazi,Ogenyi Onazi,Nigeria,CDM,76
798,Germain,Valère Germain,France,ST,75
799,Elyounoussi,Mohamed Elyounoussi,Norway,LM,76
800,Lascelles,Jamaal Lascelles,United Kingdom of Great Britain and Northern Ireland,CB,78
801,Stones,John Stones,United Kingdom of Great Britain and Northern Ireland,CB,83
802,Donnarumma,Alfredo Donnarumma,Italy,ST,75
803,Delaine,Thomas Delaine,France,LB,74
804,Bellerín,Héctor Bellerín Moruno,Spain,RB,80
805,Zé Luís,José Luís Mendes Andrade,Cabo Verde,ST,79
806,Karius,Loris Karius,Germany,GK,79
807,Gutiérrez,Felipe Gutiérrez,Chile,CM,75
808,Zuculini,Bruno Zuculini,Argentina,CDM,75
809,Vrsaljko,Šime Vrsaljko,Croatia,RB,80
810,Knockaert,Anthony Knockaert,France,RW,76
811,Fortounis,Konstantinos Fortounis,Greece,CAM,78
812,Dilaver,Emir Dilaver,Austria,CB,74
813,Niang,M'Baye Niang,Senegal,ST,77
814,Ayoub,Yassin Ayoub,Morocco,CM,74
815,Lala,Kenny Lala,France,RWB,79
816,Vaclík,Tomáš Vaclík,Czech Republic,GK,81
817,Reynet,Baptiste Reynet,France,GK,77
818,Luís Neto,Luís Carlos Novo Neto,Portugal,CB,77
819,García,Santiago García,Uruguay,ST,78
820,Ralls,Joe Ralls,United Kingdom of Great Britain and Northern Ireland,CM,74
821,Hervías,Pablo Hervías Rubio,Spain,RM,73
822,Ruidíaz,Raúl Ruidíaz,Peru,ST,76
823,Orban,Willi Orban,Hungary,CB,81
824,Zahid,Ghayas Zahid,Norway,CAM,73
825,Melgarejo,Lorenzo Melgarejo,Paraguay,RW,74
826,Campbell,Joel Campbell,Costa Rica,ST,76
827,Ibarra,Renato Ibarra,Ecuador,RM,76
828,Jiménez,Raúl Jiménez,Mexico,ST,80
829,Katai,Aleksandar Katai,Serbia,LM,75
830,Egan,John Egan,Ireland,CB,74
831,Klement,Philipp Klement,Germany,CAM,75
832,Inui,Takashi Inui,Japan,LM,79
833,Alioui,Rachid Alioui,Morocco,ST,73
834,Denis Suárez,Denis Suárez Fernández,Spain,CM,78
835,Soudani,Hillal Soudani,Algeria,ST,75
836,Pritchard,Alex Pritchard,United Kingdom of Great Britain and Northern Ireland,CAM,73
837,Nastasic,Matija Nastasic,Serbia,CB,80
838,Novák,Filip Novák,Czech Republic,LB,75
839,Boëtius,Jean-Paul Boëtius,Netherlands,CAM,78
840,Baselli,Daniele Baselli,Italy,CM,79
841,Djaniny,Jorge Djaniny Tavares Semedo,Cabo Verde,ST,78
842,Füllkrug,Niclas Füllkrug,Germany,ST,77
843,Rüdiger,Antonio Rüdiger,Germany,CB,82
844,Kverkvelia,Solomon Kverkvelia,Georgia,CB,76
845,Krmencík,Michael Krmencík,Czech Republic,ST,75
846,Bernard,Bernard Anício Caldeira Duarte,Brazil,LM,80
847,Alberto Moreno,Alberto Moreno Pérez,Spain,LB,76
848,Ocampos,Lucas Ocampos,Argentina,LM,77
849,Castro,Lucas Castro,Argentina,CM,77
850,Višca,Edin Višca,Bosnia and Herzegovina,RM,84
851,Haller,Sébastien Haller,France,ST,83
852,Denswil,Stefano Denswil,Netherlands,CB,76
853,Pavoletti,Leonardo Pavoletti,Italy,ST,78
854,Livaja,Marko Livaja,Croatia,ST,76
855,Kapino,Stefanos Kapino,Greece,GK,73
856,Ring,Alexander Ring,Finland,CDM,75
857,Murru,Nicola Murru,Italy,LB,73
858,Chiriches,Vlad Chiriches,Romania,CB,77
859,Younes,Amin Younes,Germany,LM,77
860,Chambers,Calum Chambers,United Kingdom of Great Britain and Northern Ireland,CDM,75
861,Canteros,Héctor Canteros,Argentina,CM,74
862,Heintz,Dominique Heintz,Germany,CB,76
863,Ferri,Jordan Ferri,France,CM,74
864,João Pereira,João Pedro da Silva Pereira,Portugal,RB,74
865,Stepanenko,Taras Stepanenko,Ukraine,CDM,80
866,Kryvtsov,Sergiy Kryvtsov,Ukraine,CB,75
867,Morozyuk,Mykola Morozyuk,Ukraine,RB,74
868,Benzia,Yassine Benzia,Algeria,CAM,73
869,Arnold,Maximilian Arnold,Germany,CM,79
870,Hughes,Will Hughes,United Kingdom of Great Britain and Northern Ireland,RM,77
871,Robinson,Callum Robinson,Ireland,ST,73
872,Kepa,Kepa Arrizabalaga,Spain,GK,84
873,Trossard,Leandro Trossard,Belgium,LW,79
874,Paredes,Leandro Paredes,Argentina,CM,80
875,Vietto,Luciano Vietto,Argentina,ST,74
876,Lukaku,Jordan Lukaku,Belgium,LM,77
877,Ayhan,Kaan Ayhan,Turkey,CB,77
878,Poulsen,Yussuf Poulsen,Denmark,ST,81
879,Fraser,Ryan Fraser,United Kingdom of Great Britain and Northern Ireland,LM,81
880,Felipe,Felipe Augusto de Almeida Monteiro,Brazil,CB,84
881,Martínez,Josef Martínez,Venezuela (Bolivarian Republic of),ST,81
882,Strobl,Tobias Strobl,Germany,CDM,77
883,Lucas Lima,Lucas Pedro Alves de Lima,Brazil,LB,75
884,Traoré,Bertrand Traoré,Burkina Faso,RW,78
885,Pelkas,Dimitrios Pelkas,Greece,CAM,75
886,Gabriel,Gabriel Appelt Pires,Brazil,CM,80
887,Mantalos,Petros Mantalos,Greece,CAM,75
888,Bakasetas,Anastasios Bakasetas,Greece,CAM,73
889,Kourmpelis,Dimitrios Kourmpelis,Greece,CDM,74
890,Cristante,Bryan Cristante,Italy,CM,78
891,Saïss,Romain Saïss,Morocco,CDM,77
892,Hérelle,Christophe Hérelle,France,CB,78
893,Dabbur,Munas Dabbur,Israel,ST,80
894,Foket,Thomas Foket,Belgium,RB,75
895,Sakai,Hiroki Sakai,Japan,RB,78
896,Magnússon,Hörður Magnússon,Iceland,CB,73
897,Duncan,Alfred Duncan,Ghana,CM,75
898,Vaulks,Will Vaulks,United Kingdom of Great Britain and Northern Ireland,CDM,73
899,Óliver Torres,Óliver Torres Muñoz,Spain,CM,78
900,Thomasson,Adrien Thomasson,France,CM,76
901,Guilherme,Guilherme dos Santos Torres,Brazil,CDM,76
902,Mollet,Florent Mollet,France,CAM,78
903,Fred,Frederico R. de Paula Santos,Brazil,CM,79
904,Gerso,Gerso Fernandes,Guinea-Bissau,LW,73
905,Laborde,Gaëtan Laborde,France,ST,78
906,Mena,Eugenio Mena,Chile,LB,76
907,Larsson,Sam Larsson,Sweden,LW,75
908,Fernandes,Júnior Fernandes,Chile,LM,75
909,Letschert,Timo Letschert,Netherlands,CB,74
910,Günter,Christian Günter,Germany,LB,75
911,Van Overeem,Joris van Overeem,Netherlands,CM,74
912,Grimaldo,Alejandro Grimaldo García,Spain,LB,83
913,Schär,Fabian Schär,Switzerland,CB,79
914,Kędziora,Tomasz Kędziora,Poland,RB,75
915,Garry Rodrigues,Garry Mendes Rodrigues,Cabo Verde,LM,76
916,Pereira,Ricardo Barbosa Pereira,Portugal,RB,82
